iter	Passed	Remaining
864	3085	481
865	3088	477
866	3090	474
867	3095	470
868	3097	466
869	3100	463
870	3102	459
871	3104	455
872	3109	452
873	3112	448
874	3115	445
875	3118	441
876	3120	437
877	3124	434
878	3127	430
879	3130	426
880	3132	423
881	3134	419
882	3140	416
883	3147	412
884	3150	409
885	3155	406
886	3158	402
887	3161	398
888	3164	395
889	3167	391
890	3172	388
891	3174	384
892	3177	380
893	3179	377
894	3182	373
895	3185	369
896	3188	366
897	3191	362
898	3193	358
899	3196	355
900	3199	351
901	3203	347
902	3205	344
903	3207	340
904	3210	337
905	3214	333
906	3217	329
907	3219	326
908	3222	322
909	3224	318
910	3227	315
911	3231	311
912	3234	308
913	3236	304
914	3238	300
915	3241	297
916	3245	293
917	3248	290
918	3250	286
919	3252	282
920	3254	279
921	3258	275
922	3261	272
923	3263	268
924	3265	264
925	3267	261
926	3269	257
927	3273	253
928	3275	250
929	3278	246
930	3280	243
931	3282	239
932	3285	235
933	3287	232
934	3291	228
935	3294	225
936	3296	221
937	3298	218
938	3301	214
939	3305	210
940	3307	207
941	3309	203
942	3312	200
943	3314	196
944	3318	193
945	3321	189
946	3323	186
947	3326	182
948	3328	178
949	3332	175
950	3334	171
951	3336	168
952	3339	164
953	3341	161
954	3343	157
955	3347	154
956	3349	150
957	3351	146
958	3354	143
959	3356	139
960	3360	136
961	3362	132
962	3364	129
963	3367	125
964	3369	122
965	3371	118
966	3374	115
967	3377	111
968	3379	108
969	3382	104
970	3384	101
971	3386	97
972	3390	94
973	3393	90
974	3395	87
975	3398	83
976	3401	80
977	3406	76
978	3408	73
979	3411	69
980	3414	66
981	3416	62
982	3420	59
983	3423	55
984	3425	52
985	3428	48
986	3430	45
987	3434	41
988	3439	38
989	3442	34
990	3444	31
991	3447	27
992	3451	24
993	3453	20
994	3456	17
995	3458	13
996	3461	10
997	3464	6
998	3468	3
999	3470	0
